127.0.0.1 - - [03/Jan/2016:15:43:43 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_zyp1446284939.jpg HTTP/1.1" 200 84868
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_hfa1446265498.jpg HTTP/1.1" 200 46720
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_ydc1446214794.jpg HTTP/1.1" 200 22312
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_uvi1446201500.jpg HTTP/1.1" 200 74862
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_nff1446213768.jpg HTTP/1.1" 200 23795
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_xil1446259410.jpg HTTP/1.1" 200 76287
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_gkq1446256462.jpg HTTP/1.1" 200 57764
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/img/Camnangdulich/medium_tgy1446212990.jpg HTTP/1.1" 200 49703
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:42 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/dist/css/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:54 +0700] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:44:55 +0700] "GET /NEWPROJECT/NEWPROJECT/video/Welcome%20to%20vietnam.mp4 HTTP/1.1" 206 418632
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:47:53 +0700] "GET /NEWPROJECT/NEWPROJECT/html/home.jsp HTTP/1.1" 200 32067
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:47:54 +0700] "GET /NEWPROJECT/NEWPROJECT/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [03/Jan/2016:15:47:54 +0700] "GET /NEWPROJECT/NEWPROJECT/Bootstrap/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
